film,start-end frames
01 0-3657
 B 3658-7274
02 7275-10906
03 10907-14028
04 14029-17683
 C 17684-20891
 A 20892-24500
 D 24501-28112
17 28113-31672
10 31673-35273
05 35274-38614
18 38615-42211
19 42212-45798
21 45799-49351
07 49352-52963
12 52964-55784
06 55785-59377
09 59378-62979
24 62980-66545
11 66546-70147
20 70148-74058
13 74059-76830
14 76831-80230
25 80231-83800
15 83801-87327
23 87328-90500
22 90501-94124
16 94125-97493
08 97494-101029

0-3657,3658-7274,7275-10906,10907-14028,14029-17683,17684-20891,20892-24500,24501-28112,28113-31672,31673-35273,35274-38614,38615-42211,42212-45798,45799-49351,49352-52963,52964-55784,55785-59377,59378-62979,62980-66545,66546-70147,70148-74058,74059-76830,76831-80230,80231-83800,83801-87327,87328-90500,90501-94124,94125-97493,97494-101029
